"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Multiple Cause of death"	"Multiple Cause of death Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2016"	"2016"	"Septicaemia, unspecified"	"A41.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	25	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	20	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	82	4863300	1.7
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	98	4863300	2.0
	"Alabama"	"01"	"2016"	"2016"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	67	4863300	1.4
	"Alabama"	"01"	"2016"	"2016"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	21	4863300	0.4
	"Alabama"	"01"	"2016"	"2016"	"Essential (primary) hypertension"	"I10"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	15	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Atherosclerotic heart disease"	"I25.1"	18	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Cardiac arrest, unspecified"	"I46.9"	63	4863300	1.3
	"Alabama"	"01"	"2016"	"2016"	"Pneumonia, unspecified"	"J18.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Respiratory failure, unspecified"	"J96.9"	26	4863300	0.5
	"Alabama"	"01"	"2016"	"2016"	"Respiratory arrest"	"R09.2"	11	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Heroin"	"T40.1"	126	4863300	2.6
	"Alabama"	"01"	"2016"	"2016"	"Other opioids"	"T40.2"	94	4863300	1.9
	"Alabama"	"01"	"2016"	"2016"	"Methadone"	"T40.3"	34	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Other synthetic narcotics"	"T40.4"	157	4863300	3.2
	"Alabama"	"01"	"2016"	"2016"	"Cocaine"	"T40.5"	82	4863300	1.7
	"Alabama"	"01"	"2016"	"2016"	"Other and unspecified narcotics"	"T40.6"	13	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Benzodiazepines"	"T42.4"	66	4863300	1.4
	"Alabama"	"01"	"2016"	"2016"	"Other and unspecified antidepressants"	"T43.2"	12	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Psychostimulants with abuse potential"	"T43.6"	55	4863300	1.1
	"Alabama"	"01"	"2016"	"2016"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	455	4863300	9.4
	"Alabama"	"01"	"2016"	"2016"	"Ethanol"	"T51.0"	33	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Alcohol, unspecified"	"T51.9"	10	4863300	Unreliable
	"Alabama"	"01"	"2016"	"2016"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	37	4863300	0.8
	"Alabama"	"01"	"2016"	"2016"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	262	4863300	5.4
	"Alabama"	"01"	"2016"	"2016"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	373	4863300	7.7
	"Alabama"	"01"	"2016"	"2016"	"Accidental poisoning by and exposure to alcohol"	"X45"	40	4863300	0.8
	"Alabama"	"01"	"2016"	"2016"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	35	4863300	0.7
	"Alabama"	"01"	"2016"	"2016"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	16	4863300	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Septicaemia, unspecified"	"A41.9"	13	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Unspecified diabetes mellitus, without complications"	"E14.9"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	23	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	15	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	26	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	89	4874747	1.8
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	90	4874747	1.8
	"Alabama"	"01"	"2017"	"2017"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	102	4874747	2.1
	"Alabama"	"01"	"2017"	"2017"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	19	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Essential (primary) hypertension"	"I10"	18	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	21	4874747	0.4
	"Alabama"	"01"	"2017"	"2017"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	10	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Atherosclerotic heart disease"	"I25.1"	14	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Cardiac arrest, unspecified"	"I46.9"	58	4874747	1.2
	"Alabama"	"01"	"2017"	"2017"	"Cardiomegaly"	"I51.7"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Acute respiratory failure"	"J96.0"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Respiratory failure, unspecified"	"J96.9"	17	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Respiratory arrest"	"R09.2"	18	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Heroin"	"T40.1"	125	4874747	2.6
	"Alabama"	"01"	"2017"	"2017"	"Other opioids"	"T40.2"	141	4874747	2.9
	"Alabama"	"01"	"2017"	"2017"	"Methadone"	"T40.3"	30	4874747	0.6
	"Alabama"	"01"	"2017"	"2017"	"Other synthetic narcotics"	"T40.4"	198	4874747	4.1
	"Alabama"	"01"	"2017"	"2017"	"Cocaine"	"T40.5"	100	4874747	2.1
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified narcotics"	"T40.6"	23	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Cannabis (derivatives)"	"T40.7"	11	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Benzodiazepines"	"T42.4"	117	4874747	2.4
	"Alabama"	"01"	"2017"	"2017"	"Other antiepileptic and sedative-hypnotic drugs"	"T42.6"	26	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Tricyclic and tetracyclic antidepressants"	"T43.0"	27	4874747	0.6
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified antidepressants"	"T43.2"	32	4874747	0.7
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified antipsychotics and neuroleptics"	"T43.5"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Psychostimulants with abuse potential"	"T43.6"	116	4874747	2.4
	"Alabama"	"01"	"2017"	"2017"	"Antiallergic and antiemetic drugs"	"T45.0"	25	4874747	0.5
	"Alabama"	"01"	"2017"	"2017"	"Skeletal muscle relaxants [neuromuscular blocking agents]"	"T48.1"	17	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Antitussives"	"T48.3"	12	4874747	Unreliable
	"Alabama"	"01"	"2017"	"2017"	"Other and unspecified drugs, medicaments and biological substances"	"T50.9"	483	4874747	9.9
	"Alabama"	"01"	"2017"	"2017"	"Ethanol"	"T51.0"	54	4874747	1.1
	"Alabama"	"01"	"2017"	"2017"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	65	4874747	1.3
	"Alabama"	"01"	"2017"	"2017"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	261	4874747	5.4
	"Alabama"	"01"	"2017"	"2017"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	423	4874747	8.7
	"Alabama"	"01"	"2017"	"2017"	"Accidental poisoning by and exposure to alcohol"	"X45"	60	4874747	1.2
	"Alabama"	"01"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	40	4874747	0.8
	"Alabama"	"01"	"2017"	"2017"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	21	4874747	0.4
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	33	4887871	0.7
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of opioids, harmful use"	"F11.1"	14	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"	"F11.9"	28	4887871	0.6
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"	"F14.9"	17	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	12	4887871	Unreliable
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	92	4887871	1.9
	"Alabama"	"01"	"2018"	"2018"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	88	4887871	1.8
