"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced"	"MCD - Drug/Alcohol Induced Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug-induced causes"	"D"	327	4430141	7.4
	"Alabama"	"01"	"1999"	"1999"	"Alcohol-induced causes"	"A"	426	4430141	9.6
	"Alabama"	"01"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	44746	4430141	1010.0
"Total"	"Alabama"	"01"	"1999"	"1999"			45499	4430141	1027.0
	"Alabama"	"01"	"2000"	"2000"	"Drug-induced causes"	"D"	470	4447100	10.6
	"Alabama"	"01"	"2000"	"2000"	"Alcohol-induced causes"	"A"	425	4447100	9.6
	"Alabama"	"01"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	45002	4447100	1011.9
"Total"	"Alabama"	"01"	"2000"	"2000"			45897	4447100	1032.1
	"Alabama"	"01"	"2001"	"2001"	"Drug-induced causes"	"D"	541	4467634	12.1
	"Alabama"	"01"	"2001"	"2001"	"Alcohol-induced causes"	"A"	443	4467634	9.9
	"Alabama"	"01"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	45267	4467634	1013.2
"Total"	"Alabama"	"01"	"2001"	"2001"			46251	4467634	1035.2
	"Alabama"	"01"	"2002"	"2002"	"Drug-induced causes"	"D"	495	4480089	11.0
	"Alabama"	"01"	"2002"	"2002"	"Alcohol-induced causes"	"A"	404	4480089	9.0
	"Alabama"	"01"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	46004	4480089	1026.9
"Total"	"Alabama"	"01"	"2002"	"2002"			46903	4480089	1046.9
	"Alabama"	"01"	"2003"	"2003"	"Drug-induced causes"	"D"	512	4503491	11.4
	"Alabama"	"01"	"2003"	"2003"	"Alcohol-induced causes"	"A"	396	4503491	8.8
	"Alabama"	"01"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	46661	4503491	1036.1
"Total"	"Alabama"	"01"	"2003"	"2003"			47569	4503491	1056.3
	"Alabama"	"01"	"2004"	"2004"	"Drug-induced causes"	"D"	644	4530729	14.2
	"Alabama"	"01"	"2004"	"2004"	"Alcohol-induced causes"	"A"	433	4530729	9.6
	"Alabama"	"01"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	46069	4530729	1016.8
"Total"	"Alabama"	"01"	"2004"	"2004"			47146	4530729	1040.6
	"Alabama"	"01"	"2005"	"2005"	"Drug-induced causes"	"D"	677	4569805	14.8
	"Alabama"	"01"	"2005"	"2005"	"Alcohol-induced causes"	"A"	434	4569805	9.5
	"Alabama"	"01"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	47025	4569805	1029.0
"Total"	"Alabama"	"01"	"2005"	"2005"			48136	4569805	1053.3
	"Alabama"	"01"	"2006"	"2006"	"Drug-induced causes"	"D"	834	4628981	18.0
	"Alabama"	"01"	"2006"	"2006"	"Alcohol-induced causes"	"A"	466	4628981	10.1
	"Alabama"	"01"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	46894	4628981	1013.1
"Total"	"Alabama"	"01"	"2006"	"2006"			48194	4628981	1041.1
	"Alabama"	"01"	"2007"	"2007"	"Drug-induced causes"	"D"	978	4672840	20.9
	"Alabama"	"01"	"2007"	"2007"	"Alcohol-induced causes"	"A"	462	4672840	9.9
	"Alabama"	"01"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	46611	4672840	997.5
"Total"	"Alabama"	"01"	"2007"	"2007"			48051	4672840	1028.3
	"Alabama"	"01"	"2008"	"2008"	"Drug-induced causes"	"D"	998	4718206	21.2
	"Alabama"	"01"	"2008"	"2008"	"Alcohol-induced causes"	"A"	466	4718206	9.9
	"Alabama"	"01"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	47638	4718206	1009.7
"Total"	"Alabama"	"01"	"2008"	"2008"			49102	4718206	1040.7
	"Alabama"	"01"	"2009"	"2009"	"Drug-induced causes"	"D"	1104	4757938	23.2
	"Alabama"	"01"	"2009"	"2009"	"Alcohol-induced causes"	"A"	458	4757938	9.6
	"Alabama"	"01"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	47393	4757938	996.1
"Total"	"Alabama"	"01"	"2009"	"2009"			48955	4757938	1028.9
	"Alabama"	"01"	"2010"	"2010"	"Drug-induced causes"	"D"	1012	4779736	21.2
	"Alabama"	"01"	"2010"	"2010"	"Alcohol-induced causes"	"A"	473	4779736	9.9
	"Alabama"	"01"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	47957	4779736	1003.3
"Total"	"Alabama"	"01"	"2010"	"2010"			49442	4779736	1034.4
	"Alabama"	"01"	"2011"	"2011"	"Drug-induced causes"	"D"	1076	4802740	22.4
	"Alabama"	"01"	"2011"	"2011"	"Alcohol-induced causes"	"A"	476	4802740	9.9
	"Alabama"	"01"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	48586	4802740	1011.6
"Total"	"Alabama"	"01"	"2011"	"2011"			50138	4802740	1043.9
	"Alabama"	"01"	"2012"	"2012"	"Drug-induced causes"	"D"	1142	4822023	23.7
	"Alabama"	"01"	"2012"	"2012"	"Alcohol-induced causes"	"A"	490	4822023	10.2
	"Alabama"	"01"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	49190	4822023	1020.1
"Total"	"Alabama"	"01"	"2012"	"2012"			50822	4822023	1054.0
	"Alabama"	"01"	"2013"	"2013"	"Drug-induced causes"	"D"	1167	4833722	24.1
	"Alabama"	"01"	"2013"	"2013"	"Alcohol-induced causes"	"A"	479	4833722	9.9
	"Alabama"	"01"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	50101	4833722	1036.5
"Total"	"Alabama"	"01"	"2013"	"2013"			51747	4833722	1070.5
	"Alabama"	"01"	"2014"	"2014"	"Drug-induced causes"	"D"	1317	4849377	27.2
	"Alabama"	"01"	"2014"	"2014"	"Alcohol-induced causes"	"A"	583	4849377	12.0
	"Alabama"	"01"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	50108	4849377	1033.3
"Total"	"Alabama"	"01"	"2014"	"2014"			52008	4849377	1072.5
	"Alabama"	"01"	"2015"	"2015"	"Drug-induced causes"	"D"	1386	4858979	28.5
	"Alabama"	"01"	"2015"	"2015"	"Alcohol-induced causes"	"A"	593	4858979	12.2
	"Alabama"	"01"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	51789	4858979	1065.8
"Total"	"Alabama"	"01"	"2015"	"2015"			53768	4858979	1106.6
	"Alabama"	"01"	"2016"	"2016"	"Drug-induced causes"	"D"	4689	4863300	96.4
	"Alabama"	"01"	"2016"	"2016"	"Alcohol-induced causes"	"A"	679	4863300	14.0
	"Alabama"	"01"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	52297	4863300	1075.3
"Total"	"Alabama"	"01"	"2016"	"2016"			57665	4863300	1185.7
	"Alabama"	"01"	"2017"	"2017"	"Drug-induced causes"	"D"	4996	4874747	102.5
	"Alabama"	"01"	"2017"	"2017"	"Alcohol-induced causes"	"A"	696	4874747	14.3
	"Alabama"	"01"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	53069	4874747	1088.7
"Total"	"Alabama"	"01"	"2017"	"2017"			58761	4874747	1205.4
	"Alabama"	"01"	"2018"	"2018"	"Drug-induced causes"	"D"	4983	4887871	101.9
	"Alabama"	"01"	"2018"	"2018"	"Alcohol-induced causes"	"A"	698	4887871	14.3
	"Alabama"	"01"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	54168	4887871	1108.2
"Total"	"Alabama"	"01"	"2018"	"2018"			59849	4887871	1224.4
"Total"	"Alabama"	"01"					1005903	93779449	1072.6
	"Alaska"	"02"	"1999"	"1999"	"Drug-induced causes"	"D"	115	624779	18.4
	"Alaska"	"02"	"1999"	"1999"	"Alcohol-induced causes"	"A"	156	624779	25.0
	"Alaska"	"02"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	2673	624779	427.8
"Total"	"Alaska"	"02"	"1999"	"1999"			2944	624779	471.2
	"Alaska"	"02"	"2000"	"2000"	"Drug-induced causes"	"D"	122	626932	19.5
	"Alaska"	"02"	"2000"	"2000"	"Alcohol-induced causes"	"A"	168	626932	26.8
	"Alaska"	"02"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	2872	626932	458.1
"Total"	"Alaska"	"02"	"2000"	"2000"			3162	626932	504.4
	"Alaska"	"02"	"2001"	"2001"	"Drug-induced causes"	"D"	145	633714	22.9
	"Alaska"	"02"	"2001"	"2001"	"Alcohol-induced causes"	"A"	195	633714	30.8
	"Alaska"	"02"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	2930	633714	462.4
"Total"	"Alaska"	"02"	"2001"	"2001"			3270	633714	516.0
	"Alaska"	"02"	"2002"	"2002"	"Drug-induced causes"	"D"	142	642337	22.1
	"Alaska"	"02"	"2002"	"2002"	"Alcohol-induced causes"	"A"	213	642337	33.2
	"Alaska"	"02"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	2972	642337	462.7
"Total"	"Alaska"	"02"	"2002"	"2002"			3327	642337	518.0
	"Alaska"	"02"	"2003"	"2003"	"Drug-induced causes"	"D"	149	648414	23.0
	"Alaska"	"02"	"2003"	"2003"	"Alcohol-induced causes"	"A"	185	648414	28.5
	"Alaska"	"02"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	3132	648414	483.0
"Total"	"Alaska"	"02"	"2003"	"2003"			3466	648414	534.5
	"Alaska"	"02"	"2004"	"2004"	"Drug-induced causes"	"D"	156	659286	23.7
	"Alaska"	"02"	"2004"	"2004"	"Alcohol-induced causes"	"A"	172	659286	26.1
	"Alaska"	"02"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	3006	659286	455.9
"Total"	"Alaska"	"02"	"2004"	"2004"			3334	659286	505.7
	"Alaska"	"02"	"2005"	"2005"	"Drug-induced causes"	"D"	160	666946	24.0
	"Alaska"	"02"	"2005"	"2005"	"Alcohol-induced causes"	"A"	166	666946	24.9
	"Alaska"	"02"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	3098	666946	464.5
"Total"	"Alaska"	"02"	"2005"	"2005"			3424	666946	513.4
	"Alaska"	"02"	"2006"	"2006"	"Drug-induced causes"	"D"	162	675302	24.0
	"Alaska"	"02"	"2006"	"2006"	"Alcohol-induced causes"	"A"	202	675302	29.9
	"Alaska"	"02"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	3280	675302	485.7
"Total"	"Alaska"	"02"	"2006"	"2006"			3644	675302	539.6
	"Alaska"	"02"	"2007"	"2007"	"Drug-induced causes"	"D"	168	680300	24.7
	"Alaska"	"02"	"2007"	"2007"	"Alcohol-induced causes"	"A"	211	680300	31.0
	"Alaska"	"02"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	3395	680300	499.0
"Total"	"Alaska"	"02"	"2007"	"2007"			3774	680300	554.8
	"Alaska"	"02"	"2008"	"2008"	"Drug-induced causes"	"D"	248	687455	36.1
	"Alaska"	"02"	"2008"	"2008"	"Alcohol-induced causes"	"A"	275	687455	40.0
	"Alaska"	"02"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	3433	687455	499.4
"Total"	"Alaska"	"02"	"2008"	"2008"			3956	687455	575.5
	"Alaska"	"02"	"2009"	"2009"	"Drug-induced causes"	"D"	225	698895	32.2
	"Alaska"	"02"	"2009"	"2009"	"Alcohol-induced causes"	"A"	272	698895	38.9
	"Alaska"	"02"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	3571	698895	510.9
"Total"	"Alaska"	"02"	"2009"	"2009"			4068	698895	582.1
	"Alaska"	"02"	"2010"	"2010"	"Drug-induced causes"	"D"	189	710231	26.6
	"Alaska"	"02"	"2010"	"2010"	"Alcohol-induced causes"	"A"	191	710231	26.9
	"Alaska"	"02"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	3688	710231	519.3
"Total"	"Alaska"	"02"	"2010"	"2010"			4068	710231	572.8
	"Alaska"	"02"	"2011"	"2011"	"Drug-induced causes"	"D"	216	722718	29.9
	"Alaska"	"02"	"2011"	"2011"	"Alcohol-induced causes"	"A"	236	722718	32.7
	"Alaska"	"02"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	3816	722718	528.0
"Total"	"Alaska"	"02"	"2011"	"2011"			4268	722718	590.5
	"Alaska"	"02"	"2012"	"2012"	"Drug-induced causes"	"D"	234	731449	32.0
	"Alaska"	"02"	"2012"	"2012"	"Alcohol-induced causes"	"A"	249	731449	34.0
	"Alaska"	"02"	"2012"	"2012"	"All other non-drug and non-alcohol causes"	"O"	3876	731449	529.9
"Total"	"Alaska"	"02"	"2012"	"2012"			4359	731449	595.9
	"Alaska"	"02"	"2013"	"2013"	"Drug-induced causes"	"D"	204	735132	27.8
	"Alaska"	"02"	"2013"	"2013"	"Alcohol-induced causes"	"A"	229	735132	31.2
	"Alaska"	"02"	"2013"	"2013"	"All other non-drug and non-alcohol causes"	"O"	3968	735132	539.8
"Total"	"Alaska"	"02"	"2013"	"2013"			4401	735132	598.7
	"Alaska"	"02"	"2014"	"2014"	"Drug-induced causes"	"D"	755	736732	102.5
	"Alaska"	"02"	"2014"	"2014"	"Alcohol-induced causes"	"A"	260	736732	35.3
	"Alaska"	"02"	"2014"	"2014"	"All other non-drug and non-alcohol causes"	"O"	4095	736732	555.8
"Total"	"Alaska"	"02"	"2014"	"2014"			5110	736732	693.6
	"Alaska"	"02"	"2015"	"2015"	"Drug-induced causes"	"D"	886	738432	120.0
	"Alaska"	"02"	"2015"	"2015"	"Alcohol-induced causes"	"A"	302	738432	40.9
	"Alaska"	"02"	"2015"	"2015"	"All other non-drug and non-alcohol causes"	"O"	4283	738432	580.0
"Total"	"Alaska"	"02"	"2015"	"2015"			5471	738432	740.9
	"Alaska"	"02"	"2016"	"2016"	"Drug-induced causes"	"D"	966	741894	130.2
	"Alaska"	"02"	"2016"	"2016"	"Alcohol-induced causes"	"A"	339	741894	45.7
	"Alaska"	"02"	"2016"	"2016"	"All other non-drug and non-alcohol causes"	"O"	4461	741894	601.3
"Total"	"Alaska"	"02"	"2016"	"2016"			5766	741894	777.2
	"Alaska"	"02"	"2017"	"2017"	"Drug-induced causes"	"D"	901	739795	121.8
	"Alaska"	"02"	"2017"	"2017"	"Alcohol-induced causes"	"A"	292	739795	39.5
	"Alaska"	"02"	"2017"	"2017"	"All other non-drug and non-alcohol causes"	"O"	4377	739795	591.7
"Total"	"Alaska"	"02"	"2017"	"2017"			5570	739795	752.9
	"Alaska"	"02"	"2018"	"2018"	"Drug-induced causes"	"D"	883	737438	119.7
	"Alaska"	"02"	"2018"	"2018"	"Alcohol-induced causes"	"A"	329	737438	44.6
	"Alaska"	"02"	"2018"	"2018"	"All other non-drug and non-alcohol causes"	"O"	4422	737438	599.6
"Total"	"Alaska"	"02"	"2018"	"2018"			5634	737438	764.0
"Total"	"Alaska"	"02"					83016	13838181	599.9
	"Arizona"	"04"	"1999"	"1999"	"Drug-induced causes"	"D"	984	5023823	19.6
	"Arizona"	"04"	"1999"	"1999"	"Alcohol-induced causes"	"A"	764	5023823	15.2
	"Arizona"	"04"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O"	39921	5023823	794.6
"Total"	"Arizona"	"04"	"1999"	"1999"			41669	5023823	829.4
	"Arizona"	"04"	"2000"	"2000"	"Drug-induced causes"	"D"	946	5130632	18.4
	"Arizona"	"04"	"2000"	"2000"	"Alcohol-induced causes"	"A"	793	5130632	15.5
	"Arizona"	"04"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O"	40375	5130632	786.9
"Total"	"Arizona"	"04"	"2000"	"2000"			42114	5130632	820.8
	"Arizona"	"04"	"2001"	"2001"	"Drug-induced causes"	"D"	963	5273477	18.3
	"Arizona"	"04"	"2001"	"2001"	"Alcohol-induced causes"	"A"	798	5273477	15.1
	"Arizona"	"04"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O"	40906	5273477	775.7
"Total"	"Arizona"	"04"	"2001"	"2001"			42667	5273477	809.1
	"Arizona"	"04"	"2002"	"2002"	"Drug-induced causes"	"D"	1049	5396255	19.4
	"Arizona"	"04"	"2002"	"2002"	"Alcohol-induced causes"	"A"	888	5396255	16.5
	"Arizona"	"04"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O"	42681	5396255	790.9
"Total"	"Arizona"	"04"	"2002"	"2002"			44618	5396255	826.8
	"Arizona"	"04"	"2003"	"2003"	"Drug-induced causes"	"D"	1127	5510364	20.5
	"Arizona"	"04"	"2003"	"2003"	"Alcohol-induced causes"	"A"	999	5510364	18.1
	"Arizona"	"04"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O"	43205	5510364	784.1
"Total"	"Arizona"	"04"	"2003"	"2003"			45331	5510364	822.6
	"Arizona"	"04"	"2004"	"2004"	"Drug-induced causes"	"D"	1195	5652404	21.1
	"Arizona"	"04"	"2004"	"2004"	"Alcohol-induced causes"	"A"	968	5652404	17.1
	"Arizona"	"04"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O"	42968	5652404	760.2
"Total"	"Arizona"	"04"	"2004"	"2004"			45131	5652404	798.4
	"Arizona"	"04"	"2005"	"2005"	"Drug-induced causes"	"D"	1349	5839077	23.1
	"Arizona"	"04"	"2005"	"2005"	"Alcohol-induced causes"	"A"	1070	5839077	18.3
	"Arizona"	"04"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O"	45565	5839077	780.3
"Total"	"Arizona"	"04"	"2005"	"2005"			47984	5839077	821.8
	"Arizona"	"04"	"2006"	"2006"	"Drug-induced causes"	"D"	1485	6029141	24.6
	"Arizona"	"04"	"2006"	"2006"	"Alcohol-induced causes"	"A"	1123	6029141	18.6
	"Arizona"	"04"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O"	46103	6029141	764.7
"Total"	"Arizona"	"04"	"2006"	"2006"			48711	6029141	807.9
	"Arizona"	"04"	"2007"	"2007"	"Drug-induced causes"	"D"	1438	6167681	23.3
	"Arizona"	"04"	"2007"	"2007"	"Alcohol-induced causes"	"A"	1192	6167681	19.3
	"Arizona"	"04"	"2007"	"2007"	"All other non-drug and non-alcohol causes"	"O"	45213	6167681	733.1
"Total"	"Arizona"	"04"	"2007"	"2007"			47843	6167681	775.7
	"Arizona"	"04"	"2008"	"2008"	"Drug-induced causes"	"D"	1324	6280362	21.1
	"Arizona"	"04"	"2008"	"2008"	"Alcohol-induced causes"	"A"	1213	6280362	19.3
	"Arizona"	"04"	"2008"	"2008"	"All other non-drug and non-alcohol causes"	"O"	45511	6280362	724.7
"Total"	"Arizona"	"04"	"2008"	"2008"			48048	6280362	765.1
	"Arizona"	"04"	"2009"	"2009"	"Drug-induced causes"	"D"	1532	6343154	24.2
	"Arizona"	"04"	"2009"	"2009"	"Alcohol-induced causes"	"A"	1274	6343154	20.1
	"Arizona"	"04"	"2009"	"2009"	"All other non-drug and non-alcohol causes"	"O"	45471	6343154	716.9
"Total"	"Arizona"	"04"	"2009"	"2009"			48277	6343154	761.1
	"Arizona"	"04"	"2010"	"2010"	"Drug-induced causes"	"D"	6686	6392017	104.6
	"Arizona"	"04"	"2010"	"2010"	"Alcohol-induced causes"	"A"	1547	6392017	24.2
	"Arizona"	"04"	"2010"	"2010"	"All other non-drug and non-alcohol causes"	"O"	46403	6392017	726.0
"Total"	"Arizona"	"04"	"2010"	"2010"			54636	6392017	854.8
	"Arizona"	"04"	"2011"	"2011"	"Drug-induced causes"	"D"	6970	6482505	107.5
	"Arizona"	"04"	"2011"	"2011"	"Alcohol-induced causes"	"A"	1584	6482505	24.4
	"Arizona"	"04"	"2011"	"2011"	"All other non-drug and non-alcohol causes"	"O"	48040	6482505	741.1
"Total"	"Arizona"	"04"	"2011"	"2011"			56594	6482505	873.0
	"Arizona"	"04"	"2012"	"2012"	"Drug-induced causes"	"D"	7434	6553255	113.4
	"Arizona"	"04"	"2012"	"2012"	"Alcohol-induced causes"	"A"	1719	6553255	26.2
