"Notes"	"State"	"State Code"	"Year"	"Year Code"	"UCD - Injury Intent"	"UCD - Injury Intent Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Unintentional"	"1"	2313	4430141	52.2
	"Alabama"	"01"	"1999"	"1999"	"Suicide"	"2"	555	4430141	12.5
	"Alabama"	"01"	"1999"	"1999"	"Homicide"	"3"	438	4430141	9.9
	"Alabama"	"01"	"1999"	"1999"	"Undetermined "	"4"	40	4430141	0.9
	"Alabama"	"01"	"1999"	"1999"	"Non-Injury, no intent classified"	"9"	41454	4430141	935.7
	"Alabama"	"01"	"2000"	"2000"	"Unintentional"	"1"	2093	4447100	47.1
	"Alabama"	"01"	"2000"	"2000"	"Suicide"	"2"	583	4447100	13.1
	"Alabama"	"01"	"2000"	"2000"	"Homicide"	"3"	444	4447100	10.0
	"Alabama"	"01"	"2000"	"2000"	"Undetermined "	"4"	51	4447100	1.1
	"Alabama"	"01"	"2000"	"2000"	"Non-Injury, no intent classified"	"9"	41886	4447100	941.9
	"Alabama"	"01"	"2001"	"2001"	"Unintentional"	"1"	2211	4467634	49.5
	"Alabama"	"01"	"2001"	"2001"	"Suicide"	"2"	512	4467634	11.5
	"Alabama"	"01"	"2001"	"2001"	"Homicide"	"3"	425	4467634	9.5
	"Alabama"	"01"	"2001"	"2001"	"Undetermined "	"4"	30	4467634	0.7
	"Alabama"	"01"	"2001"	"2001"	"Non-Injury, no intent classified"	"9"	42138	4467634	943.2
	"Alabama"	"01"	"2002"	"2002"	"Unintentional"	"1"	2228	4480089	49.7
	"Alabama"	"01"	"2002"	"2002"	"Suicide"	"2"	514	4480089	11.5
	"Alabama"	"01"	"2002"	"2002"	"Homicide"	"3"	416	4480089	9.3
	"Alabama"	"01"	"2002"	"2002"	"Undetermined "	"4"	36	4480089	0.8
	"Alabama"	"01"	"2002"	"2002"	"Non-Injury, no intent classified"	"9"	42871	4480089	956.9
	"Alabama"	"01"	"2003"	"2003"	"Unintentional"	"1"	2179	4503491	48.4
	"Alabama"	"01"	"2003"	"2003"	"Suicide"	"2"	521	4503491	11.6
	"Alabama"	"01"	"2003"	"2003"	"Homicide"	"3"	434	4503491	9.6
	"Alabama"	"01"	"2003"	"2003"	"Undetermined "	"4"	41	4503491	0.9
	"Alabama"	"01"	"2003"	"2003"	"Non-Injury, no intent classified"	"9"	43537	4503491	966.7
	"Alabama"	"01"	"2004"	"2004"	"Unintentional"	"1"	2403	4530729	53.0
	"Alabama"	"01"	"2004"	"2004"	"Suicide"	"2"	541	4530729	11.9
	"Alabama"	"01"	"2004"	"2004"	"Homicide"	"3"	369	4530729	8.1
	"Alabama"	"01"	"2004"	"2004"	"Undetermined "	"4"	48	4530729	1.1
	"Alabama"	"01"	"2004"	"2004"	"Non-Injury, no intent classified"	"9"	42756	4530729	943.7
	"Alabama"	"01"	"2005"	"2005"	"Unintentional"	"1"	2395	4569805	52.4
	"Alabama"	"01"	"2005"	"2005"	"Suicide"	"2"	535	4569805	11.7
	"Alabama"	"01"	"2005"	"2005"	"Homicide"	"3"	433	4569805	9.5
	"Alabama"	"01"	"2005"	"2005"	"Undetermined "	"4"	66	4569805	1.4
	"Alabama"	"01"	"2005"	"2005"	"Legal Intervention / Operations of War"	"5"	11	4569805	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"Non-Injury, no intent classified"	"9"	43650	4569805	955.2
	"Alabama"	"01"	"2006"	"2006"	"Unintentional"	"1"	2506	4628981	54.1
	"Alabama"	"01"	"2006"	"2006"	"Suicide"	"2"	580	4628981	12.5
	"Alabama"	"01"	"2006"	"2006"	"Homicide"	"3"	445	4628981	9.6
	"Alabama"	"01"	"2006"	"2006"	"Undetermined "	"4"	93	4628981	2.0
	"Alabama"	"01"	"2006"	"2006"	"Non-Injury, no intent classified"	"9"	43351	4628981	936.5
	"Alabama"	"01"	"2007"	"2007"	"Unintentional"	"1"	2542	4672840	54.4
	"Alabama"	"01"	"2007"	"2007"	"Suicide"	"2"	592	4672840	12.7
	"Alabama"	"01"	"2007"	"2007"	"Homicide"	"3"	480	4672840	10.3
	"Alabama"	"01"	"2007"	"2007"	"Undetermined "	"4"	77	4672840	1.6
	"Alabama"	"01"	"2007"	"2007"	"Non-Injury, no intent classified"	"9"	43001	4672840	920.2
	"Alabama"	"01"	"2008"	"2008"	"Unintentional"	"1"	2509	4718206	53.2
	"Alabama"	"01"	"2008"	"2008"	"Suicide"	"2"	604	4718206	12.8
	"Alabama"	"01"	"2008"	"2008"	"Homicide"	"3"	454	4718206	9.6
	"Alabama"	"01"	"2008"	"2008"	"Undetermined "	"4"	115	4718206	2.4
	"Alabama"	"01"	"2008"	"2008"	"Non-Injury, no intent classified"	"9"	44024	4718206	933.1
