"Notes"	"State"	"State Code"	"Year"	"Year Code"	"MCD - Drug/Alcohol Induced Cause"	"MCD - Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	143	4430141	3.2
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	37	4430141	0.8
	"Alabama"	"01"	"1999"	"1999"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	16	4430141	Unreliable
	"Alabama"	"01"	"1999"	"1999"	"All other drug-induced causes"	"D9"	148	4430141	3.3
	"Alabama"	"01"	"1999"	"1999"	"All other alcohol-induced causes"	"A9"	418	4430141	9.4
	"Alabama"	"01"	"1999"	"1999"	"All other non-drug and non-alcohol causes"	"O9"	44746	4430141	1010.0
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	159	4447100	3.6
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	47	4447100	1.1
	"Alabama"	"01"	"2000"	"2000"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	20	4447100	0.4
	"Alabama"	"01"	"2000"	"2000"	"All other drug-induced causes"	"D9"	257	4447100	5.8
	"Alabama"	"01"	"2000"	"2000"	"All other alcohol-induced causes"	"A9"	422	4447100	9.5
	"Alabama"	"01"	"2000"	"2000"	"All other non-drug and non-alcohol causes"	"O9"	45002	4447100	1011.9
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	208	4467634	4.7
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	38	4467634	0.9
	"Alabama"	"01"	"2001"	"2001"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	13	4467634	Unreliable
	"Alabama"	"01"	"2001"	"2001"	"All other drug-induced causes"	"D9"	299	4467634	6.7
	"Alabama"	"01"	"2001"	"2001"	"All other alcohol-induced causes"	"A9"	436	4467634	9.8
	"Alabama"	"01"	"2001"	"2001"	"All other non-drug and non-alcohol causes"	"O9"	45267	4467634	1013.2
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	201	4480089	4.5
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	28	4480089	0.6
	"Alabama"	"01"	"2002"	"2002"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	14	4480089	Unreliable
	"Alabama"	"01"	"2002"	"2002"	"All other drug-induced causes"	"D9"	269	4480089	6.0
	"Alabama"	"01"	"2002"	"2002"	"All other alcohol-induced causes"	"A9"	396	4480089	8.8
	"Alabama"	"01"	"2002"	"2002"	"All other non-drug and non-alcohol causes"	"O9"	46004	4480089	1026.9
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	190	4503491	4.2
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	22	4503491	0.5
	"Alabama"	"01"	"2003"	"2003"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	23	4503491	0.5
	"Alabama"	"01"	"2003"	"2003"	"All other drug-induced causes"	"D9"	306	4503491	6.8
	"Alabama"	"01"	"2003"	"2003"	"All other alcohol-induced causes"	"A9"	395	4503491	8.8
	"Alabama"	"01"	"2003"	"2003"	"All other non-drug and non-alcohol causes"	"O9"	46661	4503491	1036.1
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	263	4530729	5.8
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	42	4530729	0.9
	"Alabama"	"01"	"2004"	"2004"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	19	4530729	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"All other drug-induced causes"	"D9"	353	4530729	7.8
	"Alabama"	"01"	"2004"	"2004"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	15	4530729	Unreliable
	"Alabama"	"01"	"2004"	"2004"	"All other alcohol-induced causes"	"A9"	421	4530729	9.3
	"Alabama"	"01"	"2004"	"2004"	"All other non-drug and non-alcohol causes"	"O9"	46069	4530729	1016.8
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	242	4569805	5.3
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	29	4569805	0.6
	"Alabama"	"01"	"2005"	"2005"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4569805	0.9
	"Alabama"	"01"	"2005"	"2005"	"All other drug-induced causes"	"D9"	406	4569805	8.9
	"Alabama"	"01"	"2005"	"2005"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	10	4569805	Unreliable
	"Alabama"	"01"	"2005"	"2005"	"All other alcohol-induced causes"	"A9"	424	4569805	9.3
	"Alabama"	"01"	"2005"	"2005"	"All other non-drug and non-alcohol causes"	"O9"	47025	4569805	1029.0
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	352	4628981	7.6
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	40	4628981	0.9
	"Alabama"	"01"	"2006"	"2006"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	51	4628981	1.1
	"Alabama"	"01"	"2006"	"2006"	"All other drug-induced causes"	"D9"	458	4628981	9.9
	"Alabama"	"01"	"2006"	"2006"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	21	4628981	0.5
	"Alabama"	"01"	"2006"	"2006"	"All other alcohol-induced causes"	"A9"	450	4628981	9.7
	"Alabama"	"01"	"2006"	"2006"	"All other non-drug and non-alcohol causes"	"O9"	46894	4628981	1013.1
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	452	4672840	9.7
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	51	4672840	1.1
	"Alabama"	"01"	"2007"	"2007"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	39	4672840	0.8
	"Alabama"	"01"	"2007"	"2007"	"All other drug-induced causes"	"D9"	495	4672840	10.6
