"Jurisdiction,""1.2. When did the PDMP become operational?"""
"Alabama,""2006-01-01"","
"Alaska,""2011-08-01"","
"Arizona,""2008-10-01"","
"Arkansas,""2013-03-01"","
"California,""1939-01-01"","
"Colorado,""2007-07-01"","
"Connecticut,""2008-07-01"","
"Delaware,""2012-03-01"","
"Florida,""2011-09-01"","
"Georgia,""2013-07-01"","
"Hawaii,""1943-01-01"","
"Idaho,""1967-01-01"","
"Illinois,""1968-01-01"","
"Indiana,""1998-01-01"","
"Iowa,""2009-01-01"","
"Kansas,""2011-02-01"","
"Kentucky,""1999-01-01"","
"Louisiana,""2008-11-01"","
"Maine,""2004-07-01"","
"Maryland,""2013-08-20"","
"Massachusetts,""1994-01-01"","
"Michigan,""1989-01-01"","
"Minnesota,""2010-01-04"","
"Mississippi,""2005-01-01"","
"Montana,""2012-03-12"","
"Nebraska,""2011-04-14"","
"Nevada,""1997-01-01"","
"New Hampshire,""2014-09-02"","
"New Jersey,""2011-09-01"","
"New Mexico,""2005-01-01"","
"New York,""1973-04-01"","
"North Carolina,""2007-07-01"","
"North Dakota,""2007-09-01"","
"Ohio,""2006-07-01"","
"Oklahoma,""1991-01-01"","
"Oregon,""2011-06-01"","
"Pennsylvania,""1973-01-01"","
"Rhode Island,""1979-01-01"","
"South Carolina,""2008-02-01"","
"South Dakota,""2011-12-05"","
"Tennessee,""2006-12-01"","
"Texas,""1982-01-01"","
"Utah,""1996-01-01"","
"Vermont,""2009-01-01"","
"Virginia,""2003-09-01"","
"Washington,""2011-10-07"","
"West Virginia,""1995-07-01"","
"Wisconsin,""2013-04-01"","
"Wyoming,""2004-07-01"","
