
POV46: Poverty Status by State: 2007

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar08.pdf [http://www.census.gov/apsd/techdoc/cps/cpsmar10.pdf] [PDF]."
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement."

,,Below 100% of poverty /5,,,,Below 125% of poverty /5,,,,,,
,All income levels,Number,Standard error /19,Percent,Standard error /19,Number,Standard error /19,Percent,Standard error /19,State Factors,A Parameter,B Parameter
All Ages /1,,,,,,,,,,,,
WEIGHTED PERSON COUNT,,,,,,,,,,,,
United States,"298,699","37,276",415,12.5,0.1,"50,876",471,17.0,0.2,1.00,-.000018,"5,282"
Alabama,"4,566",662,56,14.5,1.2,838,62,18.4,1.3,1.05,-.001213,"5,282"
Alaska,675,51,7,7.6,1.0,70,8,10.4,1.1,0.18,-.001435,"5,282"
Arizona,"6,365",912,71,14.3,1.1,"1,170",79,18.4,1.2,1.23,-.001024,"5,282"
Arkansas,"2,803",387,35,13.8,1.2,523,39,18.6,1.4,0.68,-.001284,"5,282"
California,"36,247","4,589",163,12.7,0.4,"6,746",190,18.6,0.5,1.25,-.000183,"5,282"
Colorado,"4,872",478,52,9.8,1.1,632,59,13.0,1.2,1.20,-.001310,"5,282"
Connecticut,"3,471",309,36,8.9,1.0,408,41,11.8,1.2,0.88,-.001349,"5,282"
Delaware,861,80,9,9.3,1.1,116,11,13.5,1.3,0.22,-.001356,"5,282"
District of Columbia,580,104,9,18.0,1.6,130,10,22.4,1.7,0.18,-.001643,"5,282"
Florida,"18,044","2,250",108,12.5,0.6,"3,061",123,17.0,0.7,1.12,-.000328,"5,282"
Georgia,"9,486","1,294",80,13.6,0.8,"1,742",90,18.4,0.9,1.08,-.000603,"5,282"
Hawaii,"1,264",94,12,7.5,0.9,127,13,10.1,1.0,0.29,-.001225,"5,282"
Idaho,"1,501",149,16,9.9,1.1,217,19,14.5,1.3,0.36,-.001271,"5,282"
Illinois,"12,680","1,262",82,10.0,0.6,"1,774",95,14.0,0.8,1.13,-.000470,"5,282"
Indiana,"6,258",740,61,11.8,1.0,975,69,15.6,1.1,1.08,-.000909,"5,282"
Iowa,"2,965",264,31,8.9,1.1,347,35,11.7,1.2,0.77,-.001379,"5,282"
Kansas,"2,720",319,33,11.7,1.2,455,38,16.7,1.4,0.73,-.001412,"5,282"
Kentucky,"4,202",653,55,15.5,1.3,911,63,21.7,1.5,1.05,-.001328,"5,282"
Louisiana,"4,186",673,56,16.1,1.3,876,62,20.9,1.5,1.05,-.001314,"5,282"
Maine,"1,312",142,16,10.9,1.2,194,18,14.8,1.4,0.39,-.001581,"5,282"
Maryland,"5,560",491,52,8.8,0.9,605,57,10.9,1.0,1.13,-.001078,"5,282"
Massachusetts,"6,336",707,59,11.2,0.9,875,65,13.8,1.0,1.06,-.000879,"5,282"
Michigan,"9,919","1,076",74,10.8,0.7,"1,465",85,14.8,0.9,1.09,-.000580,"5,282"
Minnesota,"5,188",482,50,9.3,1.0,622,56,12.0,1.1,1.07,-.001096,"5,282"
Mississippi,"2,895",655,44,22.6,1.5,820,47,28.3,1.6,0.71,-.001309,"5,282"
Missouri,"5,783",742,62,12.8,1.1,987,69,17.1,1.2,1.11,-.001012,"5,282"
Montana,938,122,12,13.0,1.2,167,13,17.8,1.4,0.24,-.001336,"5,282"
Nebraska,"1,751",174,20,9.9,1.1,253,23,14.4,1.3,0.46,-.001389,"5,282"
Nevada,"2,566",250,28,9.7,1.1,344,33,13.4,1.3,0.67,-.001372,"5,282"
New Hampshire,"1,312",76,11,5.8,0.9,110,13,8.4,1.0,0.34,-.001378,"5,282"
New Jersey,"8,548",742,63,8.7,0.7,"1,123",76,13.1,0.9,1.12,-.000689,"5,282"
New Mexico,"1,941",271,27,14.0,1.4,387,31,19.9,1.6,0.58,-.001565,"5,282"
New York,"19,021","2,757",121,14.5,0.6,"3,774",137,19.8,0.7,1.17,-.000325,"5,282"
North Carolina,"9,170","1,423",84,15.5,0.9,"1,920",94,20.9,1.0,1.11,-.000653,"5,282"
North Dakota,614,57,7,9.3,1.1,84,8,13.7,1.3,0.16,-.001354,"5,282"
Ohio,"11,280","1,446",85,12.8,0.8,"1,869",95,16.6,0.8,1.09,-.000510,"5,282"
Oklahoma,"3,551",476,45,13.4,1.3,704,52,19.8,1.5,0.91,-.001353,"5,282"
Oregon,"3,761",481,47,12.8,1.3,644,53,17.1,1.4,1.01,-.001429,"5,282"
Pennsylvania,"12,297","1,273",81,10.4,0.7,"1,754",93,14.3,0.8,1.09,-.000471,"5,282"
Rhode Island,"1,042",99,12,9.5,1.1,131,13,12.6,1.3,0.30,-.001527,"5,282"
South Carolina,"4,380",617,54,14.1,1.2,873,63,19.9,1.4,1.06,-.001287,"5,282"
South Dakota,787,74,8,9.4,1.0,118,9,15.0,1.2,0.17,-.001146,"5,282"
Tennessee,"6,137",906,66,14.8,1.1,"1,246",75,20.3,1.2,1.08,-.000935,"5,282"
Texas,"23,653","3,903",148,16.5,0.6,"5,163",165,21.8,0.7,1.28,-.000285,"5,282"
Utah,"2,651",255,26,9.6,1.0,383,31,14.4,1.2,0.54,-.001071,"5,282"
Vermont,613,61,7,9.9,1.2,84,8,13.6,1.4,0.18,-.001544,"5,282"
Virginia,"7,678",664,59,8.6,0.8,963,69,12.5,0.9,1.08,-.000757,"5,282"
Washington,"6,503",661,60,10.2,0.9,883,68,13.6,1.0,1.15,-.000944,"5,282"
West Virginia,"1,793",265,22,14.8,1.2,329,24,18.4,1.3,0.39,-.001152,"5,282"
Wisconsin,"5,458",601,56,11.0,1.0,810,63,14.8,1.2,1.10,-.001049,"5,282"
Wyoming,518,56,6,10.9,1.2,74,7,14.3,1.4,0.15,-.001522,"5,282"
,
