
POV46: Poverty Status by State: 2009

"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see www.census.gov/apsd/techdoc/cps/cpsmar10.pdf [http://www.census.gov/apsd/techdoc/cps/cpsmar10.pdf] [PDF]."
"Source: U.S. Census Bureau, Current Population Survey, 2010 Annual Social and Economic Supplement."

,,Below 100% of poverty (5),,,,Below 125% of poverty (5),,,,,,
,All income levels,Number,Standard error (19),Percent,Standard error (19),Number,Standard error (19),Percent,Standard error (19),State Factors,A Parameter,B Parameter
All Ages (1),,,,,,,,,,,,
WEIGHTED PERSON COUNT,,,,,,,,,,,,
United States,"303,820","43,569",443,14.3,0.1,"56,840",492,18.7,0.2,1.00,-.000018,"5,282"
Alabama,"4,655",770,60,16.6,1.3,"1,105",68,23.7,1.5,1.05,-.001204,"5,282"
Alaska,688,81,8,11.7,1.2,105,9,15.3,1.3,0.18,-.001433,"5,282"
Arizona,"6,508","1,381",84,21.2,1.3,"1,676",90,25.8,1.4,1.23,-.001002,"5,282"
Arkansas,"2,846",538,40,18.9,1.4,663,43,23.3,1.5,0.68,-.001275,"5,282"
California,"36,742","5,638",177,15.3,0.5,"7,358",197,20.0,0.5,1.25,-.000181,"5,282"
Colorado,"4,969",613,58,12.3,1.2,811,66,16.3,1.3,1.20,-.001290,"5,282"
Connecticut,"3,472",292,35,8.4,1.0,386,40,11.1,1.1,0.88,-.001348,"5,282"
Delaware,883,109,11,12.3,1.2,138,12,15.7,1.3,0.22,-.001343,"5,282"
District of Columbia,595,107,9,17.9,1.5,132,10,22.1,1.7,0.18,-.001631,"5,282"
Florida,"18,385","2,676",116,14.6,0.6,"3,512",129,19.1,0.7,1.12,-.000328,"5,282"
Georgia,"9,657","1,775",91,18.4,0.9,"2,223",99,23.0,1.0,1.08,-.000597,"5,282"
Hawaii,"1,250",156,14,12.5,1.2,213,16,17.0,1.3,0.29,-.001221,"5,282"
Idaho,"1,524",209,19,13.7,1.2,279,21,18.3,1.4,0.36,-.001254,"5,282"
Illinois,"12,759","1,690",94,13.2,0.7,"2,270",106,17.8,0.8,1.13,-.000468,"5,282"
Indiana,"6,342","1,023",70,16.1,1.1,"1,255",76,19.8,1.2,1.08,-.000905,"5,282"
Iowa,"2,987",319,34,10.7,1.1,467,40,15.6,1.3,0.77,-.001371,"5,282"
Kansas,"2,737",374,35,13.7,1.3,496,40,18.1,1.4,0.73,-.001399,"5,282"
Kentucky,"4,276",727,58,17.0,1.4,901,63,21.1,1.5,1.05,-.001317,"5,282"
Louisiana,"4,450",636,55,14.3,1.2,861,62,19.4,1.4,1.05,-.001278,"5,282"
Maine,"1,297",148,16,11.4,1.3,209,19,16.1,1.5,0.39,-.001583,"5,282"
Maryland,"5,662",543,54,9.6,1.0,719,61,12.7,1.1,1.13,-.001076,"5,282"
Massachusetts,"6,623",717,60,10.8,0.9,966,68,14.6,1.0,1.06,-.000872,"5,282"
Michigan,"9,797","1,376",83,14.0,0.8,"1,786",92,18.2,0.9,1.09,-.000585,"5,282"
Minnesota,"5,200",576,54,11.1,1.0,770,61,14.8,1.2,1.07,-.001092,"5,282"
Mississippi,"2,847",658,44,23.1,1.5,822,47,28.9,1.6,0.71,-.001301,"5,282"
Missouri,"5,963",926,68,15.5,1.1,"1,141",73,19.1,1.2,1.11,-.001007,"5,282"
Montana,971,131,12,13.5,1.2,187,14,19.2,1.4,0.24,-.001323,"5,282"
Nebraska,"1,778",176,20,9.9,1.1,237,22,13.3,1.3,0.46,-.001380,"5,282"
Nevada,"2,629",343,32,13.0,1.2,453,36,17.2,1.4,0.67,-.001363,"5,282"
New Hampshire,"1,313",103,13,7.8,1.0,140,15,10.7,1.1,0.34,-.001378,"5,282"
New Jersey,"8,660",806,66,9.3,0.8,"1,174",77,13.6,0.9,1.12,-.000689,"5,282"
New Mexico,"1,971",381,31,19.3,1.6,479,33,24.3,1.7,0.58,-.001554,"5,282"
New York,"19,158","3,018",125,15.8,0.7,"3,774",137,19.7,0.7,1.17,-.000321,"5,282"
North Carolina,"9,336","1,576",87,16.9,0.9,"1,970",95,21.1,1.0,1.11,-.000643,"5,282"
North Dakota,632,69,7,10.9,1.1,96,8,15.1,1.3,0.16,-.001348,"5,282"
Ohio,"11,441","1,526",87,13.3,0.8,"2,002",97,17.5,0.9,1.09,-.000509,"5,282"
Oklahoma,"3,632",468,44,12.9,1.2,635,50,17.5,1.4,0.91,-.001344,"5,282"
Oregon,"3,821",510,49,13.4,1.3,656,54,17.2,1.4,1.01,-.001413,"5,282"
Pennsylvania,"12,401","1,376",84,11.1,0.7,"1,802",94,14.5,0.8,1.09,-.000471,"5,282"
Rhode Island,"1,030",134,14,13.0,1.3,169,15,16.4,1.5,0.30,-.001536,"5,282"
South Carolina,"4,501",618,55,13.7,1.2,799,61,17.8,1.3,1.06,-.001267,"5,282"
South Dakota,799,113,9,14.1,1.2,145,10,18.1,1.3,0.17,-.001134,"5,282"
Tennessee,"6,240","1,031",70,16.5,1.1,"1,427",79,22.9,1.3,1.08,-.000926,"5,282"
Texas,"24,632","4,262",154,17.3,0.6,"5,735",172,23.3,0.7,1.28,-.000280,"5,282"
Utah,"2,794",270,26,9.7,0.9,345,29,12.3,1.1,0.54,-.001036,"5,282"
Vermont,617,58,7,9.4,1.1,82,8,13.3,1.3,0.18,-.001545,"5,282"
Virginia,"7,767",831,65,10.7,0.8,"1,054",72,13.6,0.9,1.08,-.000752,"5,282"
Washington,"6,697",781,65,11.7,1.0,"1,008",72,15.1,1.1,1.15,-.000934,"5,282"
West Virginia,"1,801",285,22,15.8,1.2,351,24,19.5,1.3,0.39,-.001150,"5,282"
Wisconsin,"5,545",599,56,10.8,1.0,789,63,14.2,1.1,1.10,-.001044,"5,282"
Wyoming,540,50,6,9.2,1.1,68,7,12.6,1.3,0.15,-.001495,"5,282"
,
